iter	Passed	Remaining
0	2	267
1	4	232
2	6	203
3	7	185
4	10	193
5	12	200
6	14	195
7	16	194
8	18	190
9	20	182
10	21	177
11	24	177
12	25	173
13	29	181
14	33	187
15	34	182
16	36	178
17	38	173
18	39	170
19	41	166
20	43	163
21	46	166
22	48	163
23	50	159
24	52	156
25	53	152
26	55	149
27	56	145
28	58	142
29	61	144
30	64	142
31	65	139
32	67	137
33	69	134
34	71	131
35	73	129
36	75	128
37	77	126
38	79	124
39	81	122
40	83	120
41	84	116
42	85	113
43	87	111
44	89	109
45	92	108
46	94	106
47	96	104
48	98	102
49	100	100
50	102	98
51	104	96
52	106	94
53	109	92
54	110	90
55	111	87
56	113	85
57	115	83
58	117	81
59	119	79
60	121	77
61	123	75
62	125	73
63	127	71
64	129	69
65	132	68
66	134	66
67	138	65
68	141	63
69	143	61
70	145	59
71	148	57
72	150	55
73	153	54
74	157	52
75	159	50
76	161	48
77	164	46
78	169	44
79	171	42
80	174	40
81	176	38
82	181	37
83	186	35
84	189	33
85	191	31
86	193	28
87	195	26
88	199	24
89	201	22
90	203	20
91	205	17
92	208	15
93	211	13
94	214	11
95	216	9
96	219	6
97	221	4
98	223	2
99	225	0
